 11 3337.371390 1.797E-25 1.669E-01.07630.312 2004.81540.69-.002476          0 3 0          0 1 0  4  4  1        4  3  2      5645233059251622 7    27.0   27.0
 11 3337.488055 1.397E-27 1.011E+00.03330.221 3629.09430.37-.019380          0 0 1          0 0 0 15  5 11       15  7  8      474223443331712211    81.0   75.0
 11 3337.854691 5.770E-26 2.376E-01.07470.391 2126.40760.67-.002042          0 3 0          0 1 0  5  4  2        5  3  3      4542234459257122 7    11.0   11.0
 11 3338.043677 5.421E-29 2.033E+00.06720.412 4135.01760.69-.006620          2 0 0          1 0 0  3  3  0        4  4  1      3442434432257122 7    81.0   75.0
 11 3338.054200 5.751E-29 1.695E+01.02530.265 4803.81880.44-.013640          0 1 1          0 1 0 11  9  3       12  9  4      344233443231712211    81.0   75.0
 11 3338.055298 1.917E-29 1.695E+01.02490.265 4803.81840.44-.013370          0 1 1          0 1 0 11  9  2       12  9  3      344233443231712211    81.0   75.0
 11 3338.123198 2.261E-27 3.193E-01.02890.235 3264.33620.40-.014084          0 2 0          0 0 0 13  8  5       14  7  8      3342234433297122 9    81.0   75.0
 11 3338.128239 1.013E-27 2.637E-02.06390.352 2569.50790.61-.007260          0 1 1          0 1 0  7  0  7        7  4  4      474223443330712210    81.0   75.0
 11 3338.149686 1.876E-29 4.880E+00.04600.315 4715.96630.55-.005070          2 0 0          1 0 0  8  2  7        9  1  8      4442234432257122 7    81.0   75.0
 11 3338.154693 2.224E-29 2.500E+00.06580.412 4134.79830.69-.003870          2 0 0          1 0 0  3  3  1        4  4  0      4442334432287122 7    81.0   75.0
 11 3338.257630 1.195E-27 3.638E+00.01600.250 3654.21360.41-.014070          1 1 0          0 1 0 12  1 11       13  2 12      3742234433297122 9    81.0   75.0
 11 3338.324792 5.155E-29 1.310E-01.09090.391 3482.48000.670.000098          0 4 0          0 2 0  6  2  4        5  1  5      4442334432287122 8    81.0   75.0
 11 3338.521262 1.213E-29 1.233E+01.07590.315 4996.33060.55-.009372          1 0 1          0 2 0  8  4  4        9  6  3      4442334432287122 8    81.0   75.0
 11 3338.526295 9.543E-28 2.215E-01.04930.281 3314.85500.470.009474          0 3 0          0 1 0 10  5  6       11  2  9      4742234433287122 8    81.0   75.0
 11 3338.807878 8.221E-29 1.654E+00.08710.371 3873.79320.63-.005850          1 2 0          0 2 0  5  2  4        6  3  3      4442234432257122 7    81.0   75.0
 11 3338.918452 2.563E-26 4.361E-01.01390.221 2631.28230.37-.013280          1 0 0          0 0 0 15  1 15       15  2 14      3742234433297122 9    81.0   75.0
 11 3338.932348 9.280E-26 5.263E-01.01410.221 2631.26710.37-.014080          1 0 0          0 0 0 15  0 15       15  1 14      3642234459297122 9    93.0   93.0
 11 3338.986180 4.477E-23 9.561E-02.05780.331  885.60020.510.004270          0 2 0          0 0 0  8  3  6        8  2  7      688421595910662545    51.0   51.0
 11 3339.052977 1.289E-25 3.036E-01.07050.371 2271.71200.63-.001572          0 3 0          0 1 0  6  4  3        6  3  4      4642234459257122 7    39.0   39.0
 11 3339.078440 1.912E-24 2.854E-03.08230.382  756.72470.59-.008299          1 0 0          0 0 0  6  1  6        6  4  3      587720305910162545    39.0   39.0
 11 3339.115131 1.834E-28 4.924E+00.08740.412 4066.12210.69-.003850          2 0 0          0 0 1  3  2  1        4  2  2      4442334432257122 7    81.0   75.0
 11 3339.284940 9.600E-24 7.213E-03.09570.462  488.10770.72-.008829          1 0 0          0 0 0  3  1  2        4  4  1      588821305910162545    21.0   27.0
 11 3339.455296 1.138E-28 7.487E+00.08540.391 4076.14310.67-.008950          2 0 0          0 0 1  4  0  4        5  0  5      4442234432257122 7    81.0   75.0
 11 3339.735853 9.305E-29 4.789E+00.08730.371 4292.91060.63-.002880          2 0 0          1 0 0  5  2  3        6  3  4      4442234432257122 7    81.0   75.0
